Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,symmetric,0.9099999999999999,0.34155850718374126
100% Corpus,4,symmetric,symmetric,0.33612411100952755
100% Corpus,4,asymmetric,0.01,0.30843203017359433
100% Corpus,4,asymmetric,0.31,0.3016031333407563
100% Corpus,4,asymmetric,0.61,0.35983788675262407
100% Corpus,4,asymmetric,0.9099999999999999,0.3167174763607244
100% Corpus,4,asymmetric,symmetric,0.31487019947138106
100% Corpus,5,0.01,0.01,0.3369097884243585
100% Corpus,5,0.01,0.31,0.3543632835566578
100% Corpus,5,0.01,0.61,0.3316670596781234
100% Corpus,5,0.01,0.9099999999999999,0.33199445870713323
100% Corpus,5,0.01,symmetric,0.30754090409750284
100% Corpus,5,0.31,0.01,0.3346271445977067
100% Corpus,5,0.31,0.31,0.33171017604626973
100% Corpus,5,0.31,0.61,0.33199313188843965
100% Corpus,5,0.31,0.9099999999999999,0.37078330617874605
100% Corpus,5,0.31,symmetric,0.3264073498184883
100% Corpus,5,0.61,0.01,0.3405889120420555
100% Corpus,5,0.61,0.31,0.3652875623797997
100% Corpus,5,0.61,0.61,0.3590859003186245
100% Corpus,5,0.61,0.9099999999999999,0.3841785862129693
100% Corpus,5,0.61,symmetric,0.3492747042654223
100% Corpus,5,0.9099999999999999,0.01,0.371890744775095
100% Corpus,5,0.9099999999999999,0.31,0.37671503189328953
100% Corpus,5,0.9099999999999999,0.61,0.3492775794372684
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.36736920738053047
100% Corpus,5,0.9099999999999999,symmetric,0.3692426474094644
100% Corpus,5,symmetric,0.01,0.35334207276343566
100% Corpus,5,symmetric,0.31,0.3123332381636848
100% Corpus,5,symmetric,0.61,0.3238957891628015
100% Corpus,5,symmetric,0.9099999999999999,0.34091951367612705
100% Corpus,5,symmetric,symmetric,0.3132738581166845
100% Corpus,5,asymmetric,0.01,0.3116469787788224
100% Corpus,5,asymmetric,0.31,0.3157535031429334
100% Corpus,5,asymmetric,0.61,0.32623263578579387
100% Corpus,5,asymmetric,0.9099999999999999,0.4202364353340724
100% Corpus,5,asymmetric,symmetric,0.3495431147751545
100% Corpus,6,0.01,0.01,0.36158327220635594
100% Corpus,6,0.01,0.31,0.3261946767926565
100% Corpus,6,0.01,0.61,0.3225453031260624
100% Corpus,6,0.01,0.9099999999999999,0.3072015984683489
100% Corpus,6,0.01,symmetric,0.35999700103359294
100% Corpus,6,0.31,0.01,0.3470417779635937
100% Corpus,6,0.31,0.31,0.34773702481123214
100% Corpus,6,0.31,0.61,0.3651994364897604
100% Corpus,6,0.31,0.9099999999999999,0.3788871814746079
100% Corpus,6,0.31,symmetric,0.33657035909549887
100% Corpus,6,0.61,0.01,0.36100248070252167
100% Corpus,6,0.61,0.31,0.33167416026203855
100% Corpus,6,0.61,0.61,0.3447622983766327
100% Corpus,6,0.61,0.9099999999999999,0.3645876241127266
100% Corpus,6,0.61,symmetric,0.33397515894292223
100% Corpus,6,0.9099999999999999,0.01,0.3421520326582535
100% Corpus,6,0.9099999999999999,0.31,0.3295478944399936
100% Corpus,6,0.9099999999999999,0.61,0.34749110494653196
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.37482539765550343
100% Corpus,6,0.9099999999999999,symmetric,0.33406480605712496
100% Corpus,6,symmetric,0.01,0.3526988645167881
100% Corpus,6,symmetric,0.31,0.34328912508733156
100% Corpus,6,symmetric,0.61,0.39291091799465255
100% Corpus,6,symmetric,0.9099999999999999,0.36041477537772176
100% Corpus,6,symmetric,symmetric,0.33037924440103805
100% Corpus,6,asymmetric,0.01,0.35448227822651185
100% Corpus,6,asymmetric,0.31,0.31061929255191395
100% Corpus,6,asymmetric,0.61,0.3262173886178506
100% Corpus,6,asymmetric,0.9099999999999999,0.4226708851523156
100% Corpus,6,asymmetric,symmetric,0.3484897296726069
100% Corpus,7,0.01,0.01,0.3633245793436491
100% Corpus,7,0.01,0.31,0.3635663823109963
100% Corpus,7,0.01,0.61,0.3541081532314506
